district_name,state_name,flood_events_per_decade,cyclone_events_per_decade,earthquake_events_per_decade,disaster_insurance_loss_cr,disaster_frequency_score
MumbaiSuburban,Maharashtra,0.22,0.04,0.0,29.03,2.44
Lakhimpur,Assam,0.83,0.07,0.0,5.05,2.28
Pithoragarh,Uttarakhand,0.25,0.01,0.0,8.76,2.28
Hyderabad,Telangana,0.22,0.6,0.0,22.11,2.15
Sonitpur,Assam,0.47,0.07,0.29,5.05,2.15
Karimnagar,Telangana,0.26,0.34,0.0,22.82,1.96
Kolkata,WestBengal,0.02,0.7,0.0,0.0,1.9
Dhubri,Assam,0.34,0.35,0.0,5.05,1.88
Rudraprayag,Uttarakhand,0.31,0.0,0.0,4.38,1.88
Dhemaji,Assam,0.62,0.07,0.0,5.05,1.88
Kullu,HimachalPradesh,0.68,0.0,0.0,0.0,1.84
Kamrupmetropolitan,Assam,0.4,0.07,0.04,5.05,1.82
Kamrup,Assam,0.4,0.07,0.04,5.05,1.82
Pune,Maharashtra,0.18,0.18,0.0,12.65,1.82
Nainital,Uttarakhand,0.42,0.0,0.0,4.38,1.82
Nalgonda,Telangana,0.26,0.34,0.0,22.82,1.75
Kendrapara,Odisha,0.15,0.46,0.0,11.52,1.75
Warangal,Telangana,0.32,0.28,0.0,22.11,1.75
Golaghat,Assam,0.55,0.07,0.0,5.05,1.73
Khammam,Telangana,0.3,0.28,0.0,22.82,1.71
Karimganj,Assam,0.44,0.07,0.0,5.05,1.71
Raigarh,Maharashtra,0.11,0.18,0.0,12.65,1.67
Cachar,Assam,0.41,0.07,0.0,5.05,1.65
Jorhat,Assam,0.51,0.07,0.0,5.05,1.65
Araria,Bihar,0.38,0.1,0.02,8.66,1.62
Saran,Bihar,0.38,0.1,0.02,7.9,1.62
Thiruvananthapuram,Kerala,0.24,0.04,0.0,6.83,1.62
Mahbubnagar,Telangana,0.27,0.28,0.0,22.82,1.6
Leh(ladakh),JammuandKashmir,0.51,0.02,0.0,12.17,1.6
Nizamabad,Telangana,0.22,0.3,0.0,22.11,1.58
Adilabad,Telangana,0.23,0.28,0.0,22.11,1.56
Idukki,Kerala,0.24,0.0,0.0,6.83,1.53
Chamoli,Uttarakhand,0.3,0.01,0.0,8.76,1.51
Hailakandi,Assam,0.35,0.07,0.0,5.05,1.51
Uttarkashi,Uttarakhand,0.3,0.01,0.0,8.76,1.51
Gopalganj,Bihar,0.37,0.06,0.02,7.9,1.51
Goalpara,Assam,0.45,0.07,0.0,5.05,1.51
Guntur,AndhraPradesh,0.12,0.28,0.01,0.88,1.49
Dibrugarh,Assam,0.44,0.07,0.0,5.05,1.49
Medak,Telangana,0.22,0.28,0.0,22.11,1.49
Rangareddy,Telangana,0.22,0.28,0.0,22.11,1.49
MumbaiCity,Maharashtra,0.27,0.04,0.0,29.03,1.47
Udalguri,Assam,0.43,0.07,0.0,5.05,1.47
Darrang,Assam,0.43,0.07,0.0,5.05,1.47
Bongaigaon,Assam,0.42,0.07,0.0,5.05,1.44
Kachchh,Gujarat,0.39,0.09,0.01,22.7,1.44
Chirang,Assam,0.42,0.07,0.0,5.05,1.44
Kokrajhar,Assam,0.41,0.07,0.0,5.05,1.42
North24parganas,WestBengal,0.29,0.21,0.0,0.0,1.42
Patna,Bihar,0.12,0.2,0.02,7.9,1.4
Chennai,TamilNadu,0.43,0.05,0.01,57.71,1.4
Sivasagar,Assam,0.39,0.07,0.0,5.05,1.37
Krishna,AndhraPradesh,0.16,0.28,0.01,0.88,1.35
Gajapati,Odisha,0.25,0.17,0.0,21.64,1.32
Purbachamparan,Bihar,0.23,0.12,0.02,8.66,1.32
Madhubani,Bihar,0.23,0.12,0.02,8.66,1.32
Nagaon,Assam,0.37,0.07,0.0,5.05,1.32
Barpeta,Assam,0.37,0.07,0.0,5.05,1.32
Rayagada,Odisha,0.25,0.17,0.0,21.64,1.32
Muzaffarpur,Bihar,0.18,0.16,0.02,8.66,1.3
Morigaon,Assam,0.35,0.07,0.0,5.05,1.28
Tinsukia,Assam,0.35,0.07,0.0,5.05,1.28
Baleshwar,Odisha,0.21,0.18,0.0,11.52,1.25
Vaishali,Bihar,0.16,0.16,0.02,7.9,1.25
Jagatsinghapur,Odisha,0.21,0.18,0.0,11.52,1.25
Puri,Odisha,0.21,0.17,0.0,21.64,1.23
Karbianglong,Assam,0.33,0.07,0.0,5.05,1.23
Northsikkim,Sikkim,0.11,0.0,0.01,0.0,1.2
Baksa,Assam,0.32,0.07,0.0,5.05,1.2
Yavatmal,Maharashtra,0.33,0.04,0.0,12.65,1.2
Nalbari,Assam,0.32,0.07,0.0,5.05,1.2
Dimahasao,Assam,0.32,0.07,0.0,5.05,1.2
Eastsikkim,Sikkim,0.1,0.0,0.01,0.0,1.18
Westsikkim,Sikkim,0.1,0.0,0.01,0.0,1.18
Sitamarhi,Bihar,0.17,0.12,0.02,8.66,1.18
Navsari,Gujarat,0.28,0.09,0.01,27.94,1.18
Southsikkim,Sikkim,0.1,0.0,0.01,0.0,1.18
Pashchimchamparan,Bihar,0.16,0.12,0.02,7.9,1.15
Purnia,Bihar,0.16,0.12,0.02,8.66,1.15
Darjiling,WestBengal,0.29,0.1,0.0,0.0,1.15
Bhadrak,Odisha,0.16,0.18,0.0,11.52,1.13
Jajapur,Odisha,0.23,0.11,0.0,11.52,1.13
