district_name,state_name,district_code,heat_wave_days_per_year,heat_months_total,total_months_analysed
NicobarIslands,AndamanandNicobar,IND.1.1_1,0,0,552
NorthandMiddleAndaman,AndamanandNicobar,IND.1.2_1,0,0,552
SouthAndaman,AndamanandNicobar,IND.1.3_1,0,0,552
Anantapur,AndhraPradesh,IND.2.1_1,0,0,552
Chittoor,AndhraPradesh,IND.2.2_1,0,0,552
EastGodavari,AndhraPradesh,IND.2.3_1,0,0,552
Guntur,AndhraPradesh,IND.2.4_1,0,0,552
Krishna,AndhraPradesh,IND.2.5_1,0,0,552
Kurnool,AndhraPradesh,IND.2.6_1,0,0,552
Nellore,AndhraPradesh,IND.2.7_1,0,0,552
Prakasam,AndhraPradesh,IND.2.8_1,0,0,552
Srikakulam,AndhraPradesh,IND.2.9_1,0,0,552
Visakhapatnam,AndhraPradesh,IND.2.10_1,0,0,552
Vizianagaram,AndhraPradesh,IND.2.11_1,0,0,552
WestGodavari,AndhraPradesh,IND.2.12_1,0,0,552
Y.S.R.,AndhraPradesh,IND.2.13_1,1,1,552
Anjaw,ArunachalPradesh,IND.3.1_1,0,0,552
Anjaw,ArunachalPradesh,Z07.3.1_1,0,0,552
Changlang,ArunachalPradesh,IND.3.2_1,0,0,552
DibangValley,ArunachalPradesh,Z07.3.3_1,0,0,552
EastKameng,ArunachalPradesh,Z07.3.4_1,0,0,552
EastSiang,ArunachalPradesh,IND.3.5_1,0,0,552
EastSiang,ArunachalPradesh,Z07.3.5_1,0,0,552
KurungKumey,ArunachalPradesh,Z07.3.6_1,0,0,552
Lohit,ArunachalPradesh,IND.3.7_1,0,0,552
Lohit,ArunachalPradesh,Z07.3.7_1,0,0,552
Longding,ArunachalPradesh,IND.3.8_1,0,0,552
LowerDibangValley,ArunachalPradesh,IND.3.9_1,0,0,552
LowerDibangValley,ArunachalPradesh,Z07.3.9_1,0,0,552
LowerSubansiri,ArunachalPradesh,Z07.3.10_1,0,0,552
Namsai,ArunachalPradesh,IND.3.11_1,0,0,552
PapumPare,ArunachalPradesh,Z07.3.12_1,0,0,552
Tawang,ArunachalPradesh,Z07.3.13_1,0,0,552
Tirap,ArunachalPradesh,IND.3.14_1,0,0,552
UpperSiang,ArunachalPradesh,Z07.3.15_1,0,0,552
UpperSubansiri,ArunachalPradesh,Z07.3.16_1,0,0,552
WestKameng,ArunachalPradesh,Z07.3.17_1,0,0,552
WestSiang,ArunachalPradesh,Z07.3.18_1,0,0,552
