district_name,state_name,hypertension_pct,diabetes_pct,obesity_pct,tobacco_use_pct,anaemia_pct
Adilabad,Telangana,24.75,11.8,15.7,20.35,61.1
AgarMalwa,MadhyaPradesh,23.2,19.2,8.8,20.1,59.2
Agra,UttarPradesh,18.85,7.7,25.2,27.5,59.4
Ahmedabad,Gujarat,17.35,20.2,30.1,19.8,63.7
Ahmednagar,Maharashtra,24.45,11.75,23.0,26.2,50.3
Aizawl,Mizoram,28.5,16.25,29.7,61.7,31.7
Ajmer,Rajasthan,13.8,7.7,18.9,21.35,52.7
Akola,Maharashtra,19.25,9.7,19.6,27.2,52.6
Alappuzha,Kerala,34.15,25.3,41.9,10.05,31.9
Aligarh,UttarPradesh,20.1,14.0,29.4,21.05,56.5
Alirajpur,MadhyaPradesh,24.85,7.65,10.9,28.45,60.5
Almora,Uttarakhand,28.9,11.75,19.5,24.9,33.4
Alwar,Rajasthan,23.05,6.1,17.3,26.1,53.2
Ambala,Haryana,30.0,12.35,41.6,11.4,46.1
AmbedkarNagar,UttarPradesh,19.6,16.5,20.3,32.85,52.7
Amethi,UttarPradesh,20.2,12.45,23.5,30.4,46.1
Amravati,Maharashtra,19.25,11.7,20.3,24.9,53.4
Amreli,Gujarat,14.75,16.4,29.1,29.35,50.0
Amritsar,Punjab,39.45,13.25,42.3,4.2,52.1
Anand,Gujarat,26.75,16.05,20.9,21.55,66.4
Anantapur,AndhraPradesh,25.05,15.5,29.3,12.75,50.5
Anantnag,JammuandKashmir,19.7,10.15,28.6,24.95,74.3
Anjaw,ArunachalPradesh,36.85,15.65,22.8,44.1,35.9
Anugul,Odisha,20.0,17.15,22.7,37.05,75.8
Anuppur,MadhyaPradesh,25.35,12.4,15.5,35.25,52.6
Araria,Bihar,13.95,16.2,9.9,32.75,67.9
Aravali,Gujarat,21.5,13.75,18.1,27.7,77.3
Ariyalur,TamilNadu,24.05,23.35,33.3,14.7,62.4
Arwal,Bihar,13.45,13.4,12.4,25.15,66.9
Ashoknagar,MadhyaPradesh,18.05,12.75,15.4,27.6,46.1
Auraiya,UttarPradesh,21.05,6.95,19.3,28.05,39.1
Aurangabad,Bihar,15.75,12.35,10.0,25.0,60.5
Aurangabad,Maharashtra,20.85,13.6,24.4,20.85,52.4
Azamgarh,UttarPradesh,24.05,15.65,21.5,26.75,54.3
Badgam,JammuandKashmir,19.25,7.1,25.3,24.15,73.9
Bagalkot,Karnataka,20.05,12.3,28.6,22.2,48.0
Bageshwar,Uttarakhand,27.55,9.95,17.6,25.7,27.8
Baghpat,UttarPradesh,23.45,12.25,34.5,18.25,53.3
Bahraich,UttarPradesh,26.45,7.35,12.5,42.8,48.8
Baksa,Assam,24.75,14.75,18.8,36.25,73.6
Balaghat,MadhyaPradesh,22.1,10.85,4.3,35.05,60.6
Balangir,Odisha,22.25,13.4,15.9,33.95,59.4
Baleshwar,Odisha,26.2,13.0,21.6,37.35,61.8
Ballia,UttarPradesh,18.9,13.1,16.6,18.9,52.2
Balod,Chhattisgarh,26.4,8.25,12.2,23.75,56.4
BalodaBazar,Chhattisgarh,25.25,8.25,14.7,27.85,61.2
Balrampur,Chhattisgarh,28.2,9.55,9.9,37.3,63.4
Balrampur,UttarPradesh,24.25,8.45,14.8,41.7,53.7
Banaskantha,Gujarat,15.0,14.35,11.7,22.4,60.0
Banda,UttarPradesh,19.5,12.3,13.5,41.5,52.2
Bandipore,JammuandKashmir,19.4,8.35,28.2,24.6,73.7
Bangalore,Karnataka,32.1,20.35,40.1,11.9,35.5
BangaloreRural,Karnataka,28.75,15.65,33.2,18.95,44.2
Banka,Bihar,18.1,14.95,13.4,25.6,65.9
Bankura,WestBengal,20.65,20.0,13.0,34.6,77.0
Banswara,Rajasthan,18.25,9.85,4.5,22.25,52.8
BaraBanki,UttarPradesh,20.9,10.7,17.1,30.7,55.3
Baramula,JammuandKashmir,21.35,9.15,31.1,20.6,72.5
Baran,Rajasthan,14.1,7.4,10.1,38.15,60.1
Bareilly,UttarPradesh,17.0,10.75,25.0,22.4,60.8
Bargarh,Odisha,23.45,15.55,19.9,30.65,62.6
Barmer,Rajasthan,9.7,9.2,4.5,26.5,49.4
Barnala,Punjab,36.4,14.15,37.7,7.15,55.2
Barpeta,Assam,17.3,15.5,16.6,30.35,64.8
Barwani,MadhyaPradesh,23.05,9.05,8.2,26.85,58.4
Bastar,Chhattisgarh,23.9,10.2,8.7,46.1,77.2
Basti,UttarPradesh,22.1,10.8,16.8,30.75,39.9
Bathinda,Punjab,38.65,14.25,37.5,10.65,59.7
Baudh,Odisha,22.45,12.9,18.5,30.9,54.1
Begusarai,Bihar,15.45,14.5,17.6,26.8,62.9
Belgaum,Karnataka,20.8,12.55,23.8,17.7,52.9
Bellary,Karnataka,21.05,10.4,27.3,17.2,58.1
Bemetara,Chhattisgarh,27.25,10.05,14.9,25.4,47.0
Betul,MadhyaPradesh,19.7,14.15,17.7,28.8,56.2
BhadradriKothagudem,Telangana,29.85,18.35,31.0,16.55,68.7
Bhadrak,Odisha,23.9,15.6,18.3,46.95,64.0
Bhagalpur,Bihar,14.0,15.95,19.4,24.85,73.0
Bhandara,Maharashtra,20.55,10.3,9.8,40.2,65.3
Bharatpur,Rajasthan,21.35,7.2,12.4,29.0,60.8
Bharuch,Gujarat,24.3,19.25,25.5,23.15,71.8
Bhavnagar,Gujarat,19.05,16.75,29.4,30.3,49.4
Bhilwara,Rajasthan,15.55,8.7,12.4,23.05,50.4
Bhind,MadhyaPradesh,16.1,13.25,20.5,21.75,69.9
Bhiwani,Haryana,21.75,10.75,28.1,18.2,66.4
Bhojpur,Bihar,14.2,15.5,20.8,23.05,73.6
Bhopal,MadhyaPradesh,23.65,13.6,31.5,20.7,53.5
Bid,Maharashtra,25.25,11.7,21.9,21.9,50.8
Bidar,Karnataka,22.65,10.75,20.8,19.85,55.9
Bijapur,Chhattisgarh,18.3,8.75,6.0,53.15,72.1
Bijapur,Karnataka,20.6,12.95,27.4,22.7,52.9
Bijnor,UttarPradesh,22.0,12.3,28.0,20.05,46.0
Bikaner,Rajasthan,11.9,7.9,14.4,20.7,58.9
Bilaspur,Chhattisgarh,26.5,11.35,17.1,25.75,58.5
Bilaspur,HimachalPradesh,21.2,18.9,29.1,17.55,53.0
Birbhum,WestBengal,15.8,18.65,13.4,29.2,77.7
Bishnupur,Manipur,27.45,14.6,40.9,54.5,35.8
Biswanath,Assam,25.95,9.25,10.6,44.7,64.4
Bokaro,Jharkhand,24.5,12.1,15.1,27.0,68.8
Bongaigaon,Assam,14.75,13.8,16.9,32.25,70.6
Botad,Gujarat,12.25,16.75,27.3,27.1,58.8
Budaun,UttarPradesh,13.4,9.95,15.2,24.5,55.3
Bulandshahr,UttarPradesh,23.7,13.85,32.2,19.25,52.0
