"hotspot_no","state_name","district","block_taluka","village","lat","lng","source_type","contaminant","concentration","unit","bis_limit","exceedance_factor","severity","data_as_of_year","data_source"
"1","Bihar","East Champaran","Turkauliya","","26.60995","84.84336","H.P.","arsenic","0.0856","mg/L","0.01","8.56","very_high","2024","cgwb_annual_report"
"2","Bihar","East Champaran","Motihari","","26.75819","84.97741","H.P.","arsenic","0.0169","mg/L","0.01","1.69","moderate","2024","cgwb_annual_report"
"3","Bihar","East Champaran","Ghorasahan","","26.78612","85.10897","H.P.","arsenic","0.0368","mg/L","0.01","3.68","high","2024","cgwb_annual_report"
"4","Bihar","Muzaffarpur","Bochaha","","26.13468","85.54685","H.P.","arsenic","0.0158","mg/L","0.01","1.58","moderate","2024","cgwb_annual_report"
"5","Madhya Pradesh","Singrauli","Deosar","","24.242","82.0392","DW","arsenic","0.0429","mg/L","0.01","4.29","high","2024","cgwb_annual_report"
"6","West Bengal","Nadia","Chakdah","","23.0929","88.5256","Hand Pump","arsenic","0.0469","mg/L","0.01","4.69","high","2024","cgwb_annual_report"
"7","West Bengal","Nadia","Chakdah","","23.08848","88.5599","Hand Pump","arsenic","0.0192","mg/L","0.01","1.92","moderate","2024","cgwb_annual_report"
"8","West Bengal","Nadia","Chakdah","","23.1093","88.6131","Hand Pump","arsenic","0.0543","mg/L","0.01","5.43","very_high","2024","cgwb_annual_report"
"9","West Bengal","Nadia","Chakdah","","23.095","88.6506","Hand Pump","arsenic","0.0374","mg/L","0.01","3.74","high","2024","cgwb_annual_report"
"10","West Bengal","Nadia","Chakdah","","23.0523","88.533","Hand Pump","arsenic","0.0333","mg/L","0.01","3.33","high","2024","cgwb_annual_report"
"11","West Bengal","Nadia","Chakdah","","23.059","88.5768","Hand Pump","arsenic","0.0309","mg/L","0.01","3.09","high","2024","cgwb_annual_report"
"12","West Bengal","Nadia","Chakdah","","23.0519","88.6285","Hand Pump","arsenic","0.1633","mg/L","0.01","16.33","very_high","2024","cgwb_annual_report"
"13","West Bengal","Nadia","Chakdah","","23.0469","88.6552","Hand Pump","arsenic","0.0192","mg/L","0.01","1.92","moderate","2024","cgwb_annual_report"
"14","West Bengal","Nadia","Chakdah","","23.0049","88.4339","Hand Pump","arsenic","0.0623","mg/L","0.01","6.23","very_high","2024","cgwb_annual_report"
"15","West Bengal","Nadia","Chakdah","","23.0251","88.5198","Hand Pump","arsenic","0.0242","mg/L","0.01","2.42","high","2024","cgwb_annual_report"
"16","West Bengal","Nadia","Harringhata","","22.99178","88.56368","Deep HP","arsenic","0.0619","mg/L","0.01","6.19","very_high","2024","cgwb_annual_report"
