state_name,fluoride_pct_exceeding,fluoride_risk_level,fluoride_samples_analyzed,fluoride_samples_exceeding,nitrate_pct_exceeding,nitrate_risk_level,nitrate_samples_analyzed,nitrate_samples_exceeding,arsenic_pct_exceeding,arsenic_risk_level,arsenic_samples_analyzed,arsenic_samples_exceeding,overall_water_risk,total_samples_in_state,known_high_risk_districts,monitoring_season,data_source,data_as_of_year
Andaman & Nicobar Islands,0.0,low,115.0,0.0,0.0,low,115.0,0.0,0.0,low,28.0,0.0,low,115.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Andhra Pradesh,8.99,moderate,1135.0,102.0,24.23,high,1135.0,275.0,0.0,low,0.0,0.0,high,1135.0,Bapatla|Guntur|Nellore|Palnadu|Prakasam|Annamayya|Kurnool|Tirupati,Pre-Monsoon 2024,cgwb_annual_report,2024
Arunachal Pradesh,6.67,moderate,15.0,1.0,0.0,low,15.0,0.0,0.0,low,15.0,0.0,moderate,15.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Assam,0.69,low,145.0,1.0,1.38,low,145.0,2.0,2.6,low,154.0,4.0,low,145.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Bihar,6.68,moderate,584.0,39.0,13.36,moderate,584.0,78.0,46.15,very_high,13.0,6.0,very_high,584.0,East Champaran|Muzaffarpur,Pre-Monsoon 2024,cgwb_annual_report,2024
Chandigarh,0.0,low,9.0,0.0,0.0,low,9.0,0.0,0.0,low,8.0,0.0,low,9.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Chhattisgarh,2.65,low,830.0,22.0,10.6,moderate,830.0,88.0,0.0,low,257.0,0.0,moderate,830.0,Gariyaband,Pre-Monsoon 2024,cgwb_annual_report,2024
Dadra & Nagar Haveli and Daman & Diu,0.0,low,16.0,0.0,0.0,low,16.0,0.0,,,,,low,16.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Delhi,17.78,moderate,135.0,24.0,24.44,high,135.0,33.0,0.0,low,86.0,0.0,high,135.0,North|North West,Pre-Monsoon 2024,cgwb_annual_report,2024
Goa,0.0,low,7.0,0.0,14.29,moderate,7.0,1.0,0.0,low,6.0,0.0,moderate,7.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Gujarat,9.06,moderate,618.0,56.0,18.93,moderate,618.0,117.0,0.0,low,114.0,0.0,moderate,618.0,Porbandar|Devbhumi Dwarka|Jamnagar|Surendranagar|Kachchh|Patan|Ahmedabad|Sabarkantha,Pre-Monsoon 2024,cgwb_annual_report,2024
Haryana,21.82,high,811.0,177.0,14.18,moderate,811.0,115.0,1.25,low,160.0,2.0,high,811.0,Rohtak|Jhajjar,Pre-Monsoon 2024,cgwb_annual_report,2024
Himachal Pradesh,1.24,low,161.0,2.0,11.8,moderate,161.0,19.0,0.0,low,0.0,0.0,moderate,161.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Jammu & Kashmir,0.0,low,247.0,0.0,9.31,moderate,247.0,23.0,11.76,moderate,17.0,2.0,moderate,247.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Jharkhand,3.94,low,381.0,15.0,17.32,moderate,381.0,66.0,0.0,low,0.0,0.0,moderate,381.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Karnataka,16.83,moderate,398.0,67.0,45.48,very_high,398.0,181.0,1.69,low,118.0,2.0,very_high,398.0,Kolar|Tumkur,Pre-Monsoon 2024,cgwb_annual_report,2024
Kerala,0.55,low,361.0,2.0,10.8,moderate,361.0,39.0,0.0,low,185.0,0.0,moderate,361.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Ladakh,,,,,,,,,,,,,,,,Pre-Monsoon 2024,cgwb_annual_report,2024
Lakshadweep,,,,,,,,,,,,,,,,Pre-Monsoon 2024,cgwb_annual_report,2024
Madhya Pradesh,0.96,low,726.0,7.0,22.04,high,726.0,160.0,0.0,low,49.0,0.0,high,726.0,Betul|Alirajpur|Singrauli|Gwalior|Seoni,Pre-Monsoon 2024,cgwb_annual_report,2024
Maharashtra,1.79,low,1565.0,28.0,33.93,high,1565.0,531.0,0.0,low,0.0,0.0,high,1565.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Manipur,0.0,low,3.0,0.0,0.0,low,3.0,0.0,0.0,low,3.0,0.0,low,3.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Meghalaya,0.0,low,39.0,0.0,,,,,0.0,low,38.0,0.0,low,39.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Mizoram,,,,,,,,,0.0,low,0.0,0.0,low,,,Pre-Monsoon 2024,cgwb_annual_report,2024
Nagaland,1.49,low,67.0,1.0,10.45,moderate,67.0,7.0,0.0,low,66.0,0.0,moderate,67.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Odisha,1.07,low,654.0,7.0,12.84,moderate,654.0,84.0,1.45,low,413.0,6.0,moderate,654.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Puducherry,11.11,moderate,9.0,1.0,11.11,moderate,9.0,1.0,0.0,low,7.0,0.0,moderate,9.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Punjab,11.24,moderate,756.0,85.0,14.68,moderate,756.0,111.0,9.12,moderate,296.0,27.0,moderate,756.0,Amritsar|Raebareli,Pre-Monsoon 2024,cgwb_annual_report,2024
Rajasthan,41.06,very_high,643.0,264.0,50.54,very_high,643.0,325.0,0.0,low,100.0,0.0,very_high,643.0,Karauli|Bharatpur|Jaipur|Tonk|Bundi,Pre-Monsoon 2024,cgwb_annual_report,2024
Sikkim,,,,,,,,,,,,,,,,Pre-Monsoon 2024,cgwb_annual_report,2024
Tamil Nadu,7.75,moderate,929.0,72.0,36.28,high,929.0,337.0,1.75,low,286.0,5.0,high,929.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Telangana,14.99,moderate,1114.0,167.0,26.03,high,1114.0,290.0,0.0,low,0.0,0.0,high,1114.0,Nalgonda|Suryapet|Mahabubnagar,Pre-Monsoon 2024,cgwb_annual_report,2024
Tripura,0.0,low,49.0,0.0,2.04,low,49.0,1.0,0.0,low,44.0,0.0,low,49.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
Uttar Pradesh,4.05,low,1333.0,54.0,8.03,moderate,1333.0,107.0,3.76,low,612.0,23.0,moderate,1333.0,Jhansi|Kannauj|Raebareli|Pratapgarh|Sonbhadra|Lakhimpur Kheri|Bijnor|Pilibhit,Pre-Monsoon 2024,cgwb_annual_report,2024
Uttarakhand,1.21,low,248.0,3.0,13.31,moderate,248.0,33.0,0.0,low,104.0,0.0,moderate,248.0,,Pre-Monsoon 2024,cgwb_annual_report,2024
West Bengal,0.91,low,875.0,8.0,8.91,moderate,875.0,78.0,19.49,moderate,236.0,46.0,moderate,875.0,Nadia,Pre-Monsoon 2024,cgwb_annual_report,2024
